yearID,G,AB,RBI,BB,SO,Salary,Birth_Year,AgeInYear,Batting_Average,N_Y_Batting_Average
2001,79,304,43,27,35,,1977,24,0.2697368421,0.2419006479
1990,82,2,0,0,0,850000,1958,32,0,0.3333333333
1990,71,6,0,0,3,102500,1962,28,0.1666666667,0
2012,31,1,0,0,1,482900,1990,22,0,0.3
2005,17,44,4,5,8,,1984,21,0.1590909091,0.1666666667
1990,84,239,26,29,78,,1967,23,0.1924686192,0.1525423729
2000,70,155,17,16,28,550000,1967,33,0.1870967742,0.2262773723
2009,105,296,38,34,54,975000,1983,26,0.2533783784,0.2296296296
1998,104,293,40,32,40,1275000,1959,39,0.3003412969,0.311627907
2012,151,525,62,40,89,520000,1986,26,0.2342857143,0.2668463612
1996,36,73,5,1,37,3375000,1967,29,0.1506849315,0.2181818182
2007,122,330,34,32,52,900000,1973,34,0.2515151515,0.24
1996,132,501,80,67,32,2050000,1958,38,0.3113772455,0.2917847025
1999,102,355,91,73,62,9381057,1964,35,0.261971831,0.30625
1993,139,502,81,72,96,6200000,1963,30,0.264940239,0.2903225806
2010,67,151,16,14,33,410000,1983,27,0.2185430464,0.1333333333
2006,96,351,53,51,65,3000000,1978,28,0.2763532764,0.3062200957
1999,93,273,38,44,67,800000,1969,30,0.2600732601,0.2214765101
1999,6,14,0,0,3,,1974,25,0.1428571429,0.218487395
2009,44,0,0,0,0,1250000,1982,27,0,0
2005,91,109,19,10,25,335000,1978,27,0.2201834862,0.2773109244
1990,51,163,16,17,50,180000,1964,26,0.2760736196,0.2438423645
2007,5,3,1,0,0,,1980,27,0.3333333333,0
1996,34,131,22,9,22,2000000,1957,39,0.2671755725,0.2827988338
2010,64,2,0,0,1,1600000,1973,37,0,0
2010,147,458,50,42,64,3100000,1984,26,0.2554585153,0.3054711246
2013,88,344,39,23,47,8000000,1984,29,0.2790697674,0.301056338
1992,158,622,97,36,109,3691667,1960,32,0.2636655949,0.2537313433
1994,47,97,14,10,31,122500,1968,26,0.1958762887,0.2360248447
2010,93,266,27,33,42,410800,1986,24,0.2706766917,0.2661290323
2011,43,124,17,9,29,455700,1986,25,0.2661290323,0
2004,66,0,0,0,0,1850000,1977,27,0,0.15
2014,69,1,0,0,1,2500000,1985,29,0,0
1999,32,3,0,0,3,212500,1972,27,0,0.3333333333
2002,6,0,0,0,0,1733333,1969,33,0,0
1996,79,192,21,8,56,262500,1966,30,0.28125,0.2454545455
2000,15,4,0,0,3,,1974,26,0,0
2012,50,67,12,6,16,,1986,26,0.223880597,0.23125
2000,162,569,115,123,104,6600000,1972,28,0.3444639719,0.2787456446
2012,44,0,0,0,0,,1986,26,0,0
2001,61,11,0,0,5,305000,1973,28,0.0909090909,0
1995,17,1,0,0,1,109000,1970,25,0,0
2005,16,1,0,0,0,6250000,1976,29,0,0
1994,16,51,7,3,15,118000,1971,23,0.2156862745,0.2595155709
2000,13,0,0,0,0,250000,1972,28,0,0
1993,7,15,2,2,4,,1969,24,0.1333333333,0.1153846154
2011,1,1,0,0,0,,1986,25,0,0.125
2009,158,580,62,35,68,5000000,1975,34,0.2655172414,0.217603912
2006,11,20,4,5,8,,1982,24,0.15,0.2439678284
1999,156,590,100,63,94,5375000,1965,34,0.2644067797,0.280148423
2009,31,28,0,1,14,,1983,26,0.0357142857,0
2013,28,59,6,7,13,,1984,29,0.2033898305,0.2432432432
2000,159,563,120,112,163,275000,1976,24,0.2841918295,0.25
2002,156,569,99,88,144,4000000,1976,26,0.2495606327,0.2476489028
2007,35,56,3,6,5,7500000,1966,41,0.2142857143,0.1052631579
2006,60,0,0,0,0,345500,1981,25,0,0
2004,16,42,7,2,6,,1982,22,0.2380952381,0.2266666667
2014,148,609,92,31,107,515000,1988,26,0.288998358,0.3333333333
1997,15,1,0,0,1,160000,1973,24,0,0
1998,102,301,33,29,42,415000,1964,34,0.2558139535,0.3628318584
2007,153,611,89,32,128,2250000,1979,28,0.2536824877,0.2133676093
2000,34,85,11,5,18,,1971,29,0.2352941176,0.2083333333
2009,115,282,31,42,79,1255000,1979,30,0.2269503546,0.2387387387
2002,70,240,30,19,61,,1972,30,0.2333333333,0.2768361582
2006,153,543,100,71,87,5000000,1975,31,0.320441989,0.2960992908
1994,13,22,1,2,12,925000,1966,28,0.1363636364,0.2708333333
2006,1,2,1,0,0,,1977,29,0.5,0.2444444444
2001,43,79,20,2,21,10500000,1972,29,0.2911392405,0.34375
2005,4,0,0,0,0,,1983,22,0,0
2012,31,56,1,0,23,4000000,1978,34,0.0714285714,0.1818181818
2014,29,0,0,0,0,,1984,30,0,0
2012,25,0,0,0,0,725000,1980,32,0,0
1995,114,352,53,67,80,2850000,1965,30,0.25,0.257985258
2005,88,312,52,33,100,,1979,26,0.2884615385,0.313253012
2008,72,1,0,0,1,4500000,1973,35,0,0
1994,56,124,17,6,28,411000,1960,34,0.2983870968,0.264573991
2013,31,52,4,2,17,13000000,1983,30,0.0769230769,0.175
2006,19,1,0,0,1,,1981,25,0,0
2001,7,15,2,1,3,,1978,23,0.2666666667,0.3064516129
2011,148,423,51,48,104,455500,1981,30,0.243498818,0.2736842105
2002,152,623,102,52,101,6000000,1968,34,0.3130016051,0.297029703
1990,105,207,24,12,19,135000,1961,29,0.2946859903,0.1818181818
2014,47,110,12,4,22,510200,1980,34,0.2181818182,0.1923076923
1990,134,507,58,45,50,1275000,1957,33,0.2682445759,0.0625
2007,152,563,71,62,131,3200000,1979,28,0.2717584369,0.2703252033
2010,27,44,2,1,12,,1984,26,0.2954545455,0.3636363636
1998,141,454,62,47,120,172000,1975,23,0.2334801762,0.2064220183
2009,141,532,91,76,109,13250000,1975,34,0.3063909774,0.2595978062
1994,72,203,11,7,26,365000,1965,29,0.2660098522,0.3367346939
1999,65,246,34,20,41,5250000,1970,29,0.3170731707,0.2869022869
2006,64,0,0,0,0,327000,1980,26,0,0
1990,144,451,74,74,55,395000,1962,28,0.3281596452,0.2583732057
2013,52,1,0,0,0,10133333,1982,31,0,0
1997,17,45,4,2,13,,1973,24,0.2444444444,0.2440944882
1999,114,317,32,18,56,210000,1973,26,0.1924290221,0.2254901961
2014,9,12,2,0,2,,1990,24,0.25,0.2643391521
2006,39,1,0,0,0,343000,1981,25,0,0
2012,8,4,0,0,2,,1987,25,0,0.1666666667
2000,138,481,72,81,78,2000000,1964,36,0.2453222453,0.2860635697
2014,5,3,0,0,1,,1985,29,0,0
2006,157,592,97,53,93,385000,1981,25,0.3209459459,0.2711864407
1998,18,39,5,4,8,,1969,29,0.3076923077,0.1764705882
2006,15,0,0,0,0,,1978,28,0,0
2001,34,5,0,0,1,232500,1977,24,0.2,0
2012,52,116,13,9,35,560000,1983,29,0.2155172414,0.255033557
2011,25,0,0,0,0,625000,1980,31,0,0
2011,31,53,3,1,25,437500,1985,26,0.1320754717,0.1
1997,35,5,2,0,1,1125000,1967,30,0.6,0
1994,6,19,1,2,3,2500000,1965,29,0.2105263158,0.2729970326
1996,120,217,23,16,38,625000,1962,34,0.2211981567,0.2266666667
2007,149,549,116,111,103,13250000,1975,32,0.3315118397,0.2644230769
1992,34,58,4,0,21,,1969,23,0.1206896552,0.2040816327
1995,59,2,0,0,1,600000,1961,34,0.5,0
2008,135,366,46,16,57,3000000,1979,29,0.2049180328,0.1034482759
2010,34,62,2,2,13,500000,1984,26,0.1129032258,0.1090909091
2007,152,509,58,10,78,380000,1981,26,0.2671905697,0.1688888889
2004,24,51,1,0,15,3725000,1978,26,0.0588235294,0.16
2007,33,65,7,1,23,7750000,1978,29,0.2461538462,0.1923076923
2014,53,116,19,4,28,,1989,25,0.2672413793,0.2781569966
2001,118,453,57,12,69,280000,1974,27,0.2693156733,0.2368421053
2005,123,463,72,35,60,8950000,1978,27,0.3023758099,0.2912457912
1992,73,137,15,23,26,,1964,28,0.1897810219,0.2583333333
2002,32,30,0,1,12,252000,1977,25,0.1,0.125
1997,37,0,0,0,0,200000,1969,28,0,0
1999,65,4,0,0,3,202000,1977,22,0,0
2010,145,499,79,83,211,833333,1983,27,0.1983967936,0.2209737828
2008,5,0,0,0,0,,1979,29,0,0
1993,162,641,87,65,58,5200000,1960,33,0.2574102964,0.3153153153
2002,38,128,18,15,21,,1977,25,0.2265625,0.2695652174
2009,110,305,41,40,55,400000,1980,29,0.2786885246,0.196969697
2004,5,2,0,0,2,,1978,26,0,0.3333333333
2004,70,165,13,15,62,310000,1977,27,0.1696969697,0.24
2007,8,9,0,0,1,,1980,27,0.2222222222,0
1997,97,341,31,17,80,2500000,1965,32,0.2434017595,0.3103448276
2002,24,2,0,0,0,,1976,26,0.5,0
2007,7,0,0,0,0,,1981,26,0,0
2008,31,3,0,0,2,425000,1981,27,0,0
1992,42,64,3,1,22,205000,1966,26,0.15625,0.1466666667
2001,25,49,5,1,22,3200000,1973,28,0.1632653061,0.125
