yearID,G,AB,RBI,BB,SO,Salary,Birth_Year,AgeInYear,Batting_Average,N_Y_Batting_Average,,,,,
1997,19,38,8,0,6,?,1972,25,0.2631578947,0.2786885246,,0.0155306299,0.0155306299,0.0520280829,0.0520280829
2012,22,70,5,2,13,?,1984,28,0.2571428571,0.268115942,,0.0109730849,0.0109730849,0.0408,0.0426
1992,115,341,53,25,46,110500,1966,26,0.2815249267,0.2863070539,,0.0047821273,0.0047821273,,
1995,48,24,0,1,9,425000,1968,27,0.125,0.0882352941,,-0.0367647059,0.0367647059,0.0112280829,0.0094280829
1998,122,413,54,31,62,265000,1971,27,0.2663438257,0.2813620072,,0.0150181815,0.0150181815,0.2158081229,0.1812114224
2014,113,344,38,13,49,3500000,1981,33,0.2470930233,0.2310344828,,-0.0160585405,0.0160585405,,
2008,95,324,33,32,44,401200,1983,25,0.2530864198,0.2533783784,,0.0002919586,0.0002919586,,
2008,140,446,59,65,99,390000,1985,23,0.2264573991,0.26875,,0.0422926009,0.0422926009,,
1992,162,613,96,94,95,1425000,1965,27,0.277324633,0.2868852459,,0.0095606129,0.0095606129,,
2005,26,79,6,0,5,?,1984,21,0.2151898734,0.2413793103,,0.0261894369,0.0261894369,,
1999,31,61,4,1,26,850000,1968,31,0.1475409836,0.1176470588,,-0.0298939248,0.0298939248,,
1998,85,209,23,10,11,385000,1966,32,0.2248803828,0.2736842105,,0.0488038278,0.0488038278,,
1992,72,115,12,5,16,?,1967,25,0.2956521739,0.2414698163,,-0.0541823576,0.0541823576,,
2014,34,60,5,3,23,15000000,1977,37,0.1333333333,0.119047619,,-0.0142857143,0.0142857143,,
2014,154,591,71,35,185,8000000,1977,37,0.2639593909,0.2470355731,,-0.0169238177,0.0169238177,,
2004,19,30,2,5,7,7000000,1970,34,0.2,0.25,,0.05,0.05,,
2002,153,563,64,48,53,2400000,1974,28,0.2628774423,0.2971246006,,0.0342471584,0.0342471584,,
2014,32,24,0,1,5,7700000,1988,26,0.0833333333,0.1428571429,,0.0595238095,0.0595238095,,
2006,107,413,40,26,91,355800,1982,24,0.2493946731,0.252173913,,0.0027792399,0.0027792399,,
2006,137,485,74,84,100,9500000,1977,29,0.2412371134,0.2404692082,,-0.0007679052,0.0007679052,,
2007,6,17,5,2,5,?,1982,25,0.2941176471,0.309148265,,0.0150306179,0.0150306179,,
2000,60,208,32,24,51,4062500,1972,28,0.2740384615,0.2873831776,,0.013344716,0.013344716,,
1998,11,17,2,2,8,?,1975,23,0.3529411765,0.2530864198,,-0.0998547567,0.0998547567,,
2008,98,274,28,16,51,415000,1973,35,0.2627737226,0.2243902439,,-0.0383834787,0.0383834787,,
2010,44,114,12,9,26,400000,1984,26,0.2456140351,0.315,,0.0693859649,0.0693859649,,
2002,53,200,28,8,40,?,1978,24,0.285,0.2611940299,,-0.0238059701,0.0238059701,,
